Temperature,Age,UFCcentri,tpH07centri,tph07speCentri,UFCcong,tpH07cong,tph07speCong,UFClyo,TpH07lyo,tph07speLyo,UFCsto3,tpH07sto3,tph07speSto3,C140,C160,C161cis,C170,C180,C181cis,C19cyc,C220,Anisotropie,UFA,SFA,CFA,UFASFA,CFASFA,CFAUFA,EC_1______,EC_1_1_1__,EC_1_1_100,EC_1_10_3__,EC_1_11_1__,EC_1_13_12__,EC_1_14_14__,EC_1_14_99__,EC_1_15_1__,EC_1_17_1__,EC_1_17_4__,EC_1_2_1__,EC_1_2_3__,EC_1_2_4__,EC_1_2_7__,EC_1_20_4__,EC_1_3_1__,EC_1_3_3__,EC_1_3_99__,EC_1_4_1__,EC_1_5_1__,EC_1_6_5__,EC_1_6_99__,EC_1_7____,EC_1_8_1__,EC_1_8_4__,EC_1_97_1__,EC_2_1_1__,EC_2_1_2__,EC_2_1_3__,EC_2_2_1__,EC_2_3_1__,EC_2_3_2__,EC_2_3_3__,EC_2_4____,EC_2_4_1__,EC_2_4_2__,EC_2_4_99__,EC_2_5_1__,EC_2_6_1__,EC_2_7_1__,EC_2_7_11__,EC_2_7_13__,EC_2_7_2__,EC_2_7_3__,EC_2_7_4__,EC_2_7_6__,EC_2_7_7__,EC_2_7_8__,EC_2_8_1__,EC_3______,EC_3_1____,EC_3_1_1__,EC_3_1_11__,EC_3_1_13__,EC_3_1_2__,EC_3_1_21__,EC_3_1_26__,EC_3_1_3__,EC_3_1_30__,EC_3_1_4__,EC_3_11_1__,EC_3_2_1__,EC_3_2_2__,EC_3_3_2__,EC_3_4____,EC_3_4_11__,EC_3_4_13__,EC_3_4_14__,EC_3_4_16__,EC_3_4_17__,EC_3_4_19__,EC_3_4_21__,EC_3_4_22__,EC_3_4_23__,EC_3_4_24__,EC_3_5_1__,EC_3_5_2__,EC_3_5_3__,EC_3_5_4__,EC_3_5_99__,EC_3_6_1__,EC_3_6_3__,EC_4_1_1__,EC_4_1_2__,EC_4_1_3__,EC_4_2____,EC_4_2_1__,EC_4_2_3__,EC_4_2_99__,EC_4_3_1__,EC_4_3_2__,EC_4_3_3__,EC_4_4_1__,EC_4_99_1__,EC_5_1_1__,EC_5_1_3__,EC_5_2_1__,EC_5_3_1__,EC_5_3_2__,EC_5_3_3__,EC_5_3_4__,EC_5_4_2__,EC_5_4_4__,EC_5_4_99__,EC_5_99_1__,EC_6_1_1__,EC_6_2_1__,EC_6_3_1__,EC_6_3_2__,EC_6_3_3__,EC_6_3_4__,EC_6_3_5__,EC_6_4_1__,EC_6_5_1__,EC_6.5.1._
condition,condition,PopCentri,PopCentri,PopCentri,PopCong,PopCong,PopCong,PopLyo,PopLyo,PopLyo,PopSto3,PopSto3,PopSto3,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,CellAniso,Cell,Cell,Cell,Cell,Cell,Cell,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol
0,0,5.00E+10,10,0,17542000000,10,0,5400000000,10,0,190292000,10,0,0.3,1,1,1,1,1,1,1,0.02,1,1,1,0.02,0.02,0.02,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22,3,1.60E+11,375,2.34E-09,29000000000,361,1.24483E-08,12000000000,508,4.23333E-08,110000000,1034,0.0000094,1.056921199,49.90496845,0.534689617,0.274579626,3.234606289,12.35678315,32.56466285,0.029487501,0.145,12.89147277,54.50056307,32.56466285,0.236538341,0.597510576,2.526062261,0.8671328671,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0,0.006993007,0,0,0,0,0,0,0,0,0.013986014,0,0.034965035,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0.020979021,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0
22,3,3.00E+11,356,1.19E-09,39000000000,350,8.97436E-09,8400000000,526,6.2619E-08,19000000,1105,5.81579E-05,1.10308234,51.63969083,0.598300856,0.209862985,3.317064345,12.72265464,30.33456861,0.070383692,0.138,13.3209555,56.34008419,30.33456861,0.236438331,0.538418944,2.277206663,0.6736842105,0,0.0105263158,0.0105263158,0,0,0,0,0,0,0,0,0.0210526316,0,0,0,0,0.0105263158,0,0,0,0,0,0,0,0.0105263158,0,0,0,0,0.0315789474,0,0.0210526316,0,0,0,0,0,0,0.0210526316,0.0210526316,0.0421052632,0,0,0.0105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263158,0,0,0.0315789474,0,0,0.0210526316,0.0105263158,0,0,0,0.0105263158,0,0,0,0.0105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263158,0.0105263158,0,0
22,4,2.50E+11,366,1.46E-09,35000000000,360,1.02857E-08,9900000000,431,4.35354E-08,200000000,839,0.000004195,1.342234479,53.16073036,0.421607597,0.182770701,3.962309666,6.051495569,34.78248965,0.091307335,0.172,6.473103166,58.73935254,34.78248965,0.110200451,0.592149694,5.373387193,0.76,0,0,0,0,0,0,0,0,0,0,0,0.0114285714,0,0,0,0,0,0.0114285714,0,0,0.0114285714,0,0,0,0,0,0,0.0114285714,0,0.0171428571,0,0.0057142857,0,0,0.0057142857,0.0057142857,0,0,0.0114285714,0.0057142857,0.0342857143,0,0,0.0171428571,0,0,0,0,0,0,0,0,0.0057142857,0,0,0,0.0057142857,0,0,0,0,0,0.0057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057142857,0,0.0057142857,0.0171428571,0,0,0.0057142857,0.0057142857,0,0,0,0.0057142857,0,0,0,0.0057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057142857,0,0,0,0.0057142857,0.0114285714,0,0
22,4,2.10E+11,351,1.67E-09,32000000000,336,1.05E-08,14000000000,456,3.25714E-08,300000000,1016,3.38667E-06,1.066234357,52.01996197,0.363593443,0.155658871,4.21546372,5.704164888,36.43883371,0.034246539,0.164,6.067758331,57.49156546,36.43883371,0.105541714,0.63381182,6.005320536,0.7669172932,0,0.015037594,0.007518797,0,0,0,0,0,0,0,0,0.015037594,0,0,0,0.007518797,0.007518797,0,0,0,0.007518797,0,0,0,0,0,0,0.007518797,0,0.015037594,0,0.015037594,0,0,0.007518797,0.007518797,0,0,0.015037594,0.007518797,0.022556391,0,0,0.007518797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007518797,0,0,0.022556391,0,0,0,0,0,0,0,0,0,0,0,0.007518797,0,0,0,0,0.007518797,0,0,0,0,0,0.007518797,0,0,0,0,0.007518797,0,0,0,0.007518797,0,0,0
30,3,1.50E+11,378,2.52E-09,30000000000,355,1.18333E-08,11000000000,499,4.53636E-08,110000000,1140,1.03636E-05,1.821141421,51.06315094,0.352021541,0.078603048,3.180151022,8.341596951,35.05870305,0,0.164,8.693618492,56.14304643,35.05870305,0.154847644,0.624453165,4.032693991,0.7070707071,0,0.0185185185,0,0,0.0016835017,0,0,0,0,0,0,0.0016835017,0,0,0.0016835017,0.0016835017,0.0016835017,0,0.0033670034,0.0016835017,0.0033670034,0.0016835017,0,0.0016835017,0,0,0,0.0050505051,0.0016835017,0.0033670034,0.0067340067,0.0151515152,0,0.0016835017,0.0050505051,0.0033670034,0.0016835017,0,0.0050505051,0.0067340067,0.0404040404,0,0,0.0033670034,0,0.0033670034,0,0.0050505051,0,0.0016835017,0,0,0.0016835017,0.0016835017,0,0,0.0033670034,0,0,0,0.0016835017,0,0.0185185185,0,0.0016835017,0,0.0016835017,0,0,0.0016835017,0,0,0,0,0,0.0016835017,0.0033670034,0,0,0.0016835017,0.0016835017,0,0.031986532,0.0016835017,0.0016835017,0.0016835017,0.0016835017,0.0067340067,0,0.0016835017,0.0050505051,0,0.0016835017,0,0,0,0.0067340067,0,0.0016835017,0.0016835017,0,0,0.0033670034,0.0016835017,0.0016835017,0,0.0151515152,0.0016835017,0,0.0016835017,0,0.0016835017,0.0067340067,0.0067340067,0
30,3,6.00E+11,378,6.30E-10,51000000000,365,7.15686E-09,11000000000,453,4.11818E-08,690000000,832,1.2058E-06,1.824646623,51.25311079,0.380409326,0.051848282,3.436147247,9.128502298,33.92214834,0,0.164,9.508911624,56.56575294,33.92214834,0.168103687,0.599694101,3.567405996,0.7139874739,0,0.0146137787,0,0,0.0020876827,0,0,0,0,0,0,0,0,0,0.0020876827,0.0020876827,0.0020876827,0,0.0020876827,0.0020876827,0.0041753653,0.0020876827,0,0.0020876827,0,0,0,0.012526096,0,0.0020876827,0.006263048,0.012526096,0,0,0.006263048,0.0041753653,0.0020876827,0,0.0083507307,0.006263048,0.0438413361,0,0,0.0020876827,0,0,0,0.006263048,0,0.0020876827,0,0,0.0020876827,0.0020876827,0,0,0.006263048,0,0,0,0.0020876827,0,0.012526096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041753653,0,0,0,0,0,0.0334029228,0.0020876827,0.0020876827,0,0,0.0083507307,0.0020876827,0,0.0041753653,0,0,0,0,0,0.006263048,0,0.0020876827,0.0020876827,0,0,0.0041753653,0,0.0020876827,0,0.012526096,0,0,0.0041753653,0,0,0.012526096,0.0083507307,0
30,4,1.80E+11,381,2.12E-09,32000000000,377,1.17813E-08,13000000000,403,0.000000031,1300000000,828,6.36923E-07,2.263666662,56.83559174,0.337332725,0.098462247,3.869939035,3.312564683,33.17977145,0.099713583,0.174,3.649897408,63.16737327,33.17977145,0.057781371,0.525267551,9.090603856,0.7391304348,0,0.0173913043,0,0,0,0,0,0,0,0,0,0,0,0,0.0043478261,0,0,0,0.0043478261,0.0043478261,0.0043478261,0,0,0,0,0,0,0.0086956522,0,0.0086956522,0.0086956522,0.0086956522,0,0,0.0043478261,0.0086956522,0,0,0.0043478261,0,0.0217391304,0,0,0.0086956522,0,0,0,0.0043478261,0,0,0,0,0,0,0,0,0,0,0,0,0.0043478261,0,0.0173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043478261,0,0,0,0,0,0.052173913,0.0043478261,0,0,0,0.0173913043,0,0,0.0043478261,0,0,0,0,0,0,0,0.0043478261,0,0,0,0.0043478261,0,0,0,0.0130434783,0,0,0,0,0,0.0086956522,0.0043478261,0
30,4,2.30E+11,385,1.67E-09,35000000000,378,1.08E-08,9500000000,438,4.61053E-08,350000000,1119,3.19714E-06,2.120067098,55.84263041,0.347012247,0.209037534,3.854368384,3.302870685,34.15988273,0.160073925,0.17,3.649882932,62.18617735,34.15988273,0.058692833,0.54931633,9.359172162,0.6578449905,0,0.0132325142,0,0,0.0018903592,0,0,0,0,0,0,0,0,0,0.0018903592,0,0,0,0.0037807183,0.0037807183,0.0018903592,0.0018903592,0,0.0018903592,0,0.0018903592,0,0.0132325142,0.0018903592,0.0037807183,0.0075614367,0.0132325142,0,0.0018903592,0.0056710775,0.0056710775,0.0094517958,0,0.0075614367,0.0151228733,0.0415879017,0,0,0.0037807183,0,0.0018903592,0,0.0056710775,0,0,0,0,0.0037807183,0.0018903592,0,0,0.0037807183,0,0.0037807183,0,0.0037807183,0,0.0189035917,0.0018903592,0.0018903592,0,0.0018903592,0,0,0.0018903592,0,0.0018903592,0,0,0,0.0037807183,0.0037807183,0,0,0.0018903592,0,0,0.034026465,0.0056710775,0,0.0037807183,0.0018903592,0.0151228733,0.0018903592,0,0.0018903592,0,0.0018903592,0,0,0,0.0037807183,0,0,0.0018903592,0,0,0.0018903592,0,0.0018903592,0,0.0151228733,0,0,0.0018903592,0.0018903592,0.0018903592,0.0132325142,0.0075614367,0
22,3,1.70E+11,383,2.25E-09,31000000000,379,1.22258E-08,7100000000,513,7.22535E-08,160000000,1143,7.14375E-06,1.082125801,51.65981347,0.609124195,0.289443673,3.270673375,14.9301059,28.15433144,0,0.134,15.5392301,56.30205632,28.15433144,0.275997559,0.500058671,1.811822804,0.775,0,0,0,0,0,0,0,0,0,0,0,0.0166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0083333333,0,0,0.0083333333,0,0.0166666667,0,0.025,0,0,0,0,0,0,0.0166666667,0.0083333333,0.025,0,0,0.0083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083333333,0,0,0.025,0,0,0.025,0,0,0,0,0,0,0,0,0.0083333333,0,0,0,0,0.0083333333,0,0,0,0,0,0.0083333333,0,0,0,0,0,0,0,0,0.0083333333,0,0,0
22,4,2.30E+11,370,1.61E-09,35000000000,354,1.01143E-08,6700000000,467,6.97015E-08,250000000,986,0.000003944,1.243931313,53.20229422,0.477270721,0.249933957,4.482860688,6.51870141,33.68920363,0.080223542,0.171,6.995972131,59.25924372,33.68920363,0.118057061,0.56850546,4.81551427,0.7380352645,0,0.0050377834,0.0025188917,0,0.0025188917,0,0.0025188917,0,0,0,0,0,0,0,0,0,0.0025188917,0.0050377834,0,0.0025188917,0.0025188917,0,0,0,0.0025188917,0,0,0.0151133501,0.0025188917,0.0050377834,0,0.0025188917,0,0,0.0050377834,0,0.0226700252,0.0025188917,0.0075566751,0.0075566751,0.0176322418,0,0.0025188917,0.0050377834,0.0025188917,0.0025188917,0,0.0025188917,0.0050377834,0.0050377834,0,0.0025188917,0,0,0,0,0.0025188917,0.0025188917,0,0,0,0,0.0100755668,0,0,0,0,0,0,0,0,0.0025188917,0,0.0025188917,0,0.0025188917,0.0050377834,0.0025188917,0,0,0,0,0.0151133501,0.0050377834,0.0025188917,0,0,0.0050377834,0,0,0,0,0,0,0,0,0.0025188917,0,0.0075566751,0,0,0,0,0,0,0,0.0226700252,0.0050377834,0.0025188917,0.0025188917,0.0025188917,0.0050377834,0.0100755668,0,0
30,3,3.00E+11,390,1.30E-09,39000000000,381,9.76923E-09,11000000000,451,0.000000041,78000000,1002,1.28462E-05,1.774463272,50.36462396,0.416873276,0.101332095,3.134733319,9.464609919,34.73922532,0,0.169,9.881483195,55.37515265,34.73922532,0.178446157,0.627343197,3.51558816,0.7407407407,0,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041152263,0,0.0041152263,0.0041152263,0,0,0,0,0,0.0082304527,0,0,0.0082304527,0.0041152263,0,0,0.0082304527,0.0041152263,0,0,0.0082304527,0.0041152263,0.049382716,0,0,0,0,0,0,0.0082304527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041152263,0,0,0,0,0,0.0411522634,0.0082304527,0,0.0041152263,0,0.0082304527,0,0,0.0041152263,0,0,0,0,0,0.0041152263,0,0,0,0,0,0.0041152263,0,0,0,0.0205761317,0,0,0,0,0,0.0082304527,0.012345679,0
30,4,1.90E+11,398,2.09E-09,33000000000,382,1.15758E-08,16000000000,452,2.825E-08,1000000000,822,0.000000822,2.267971904,56.62705501,0.349538203,0.055329,3.475637667,3.22842038,33.99308381,0,0.163,3.577958583,62.42599358,33.99308381,0.057315204,0.544534125,9.50069237,0.6995798319,0,0.0147058824,0,0,0.0021008403,0,0,0,0,0,0,0.0021008403,0,0,0.0021008403,0,0,0,0.0042016807,0.0021008403,0,0.0021008403,0,0.0021008403,0,0.0021008403,0,0.006302521,0,0.0042016807,0.006302521,0.0147058824,0,0,0.0021008403,0.0084033613,0.0021008403,0,0.0042016807,0.0105042017,0.031512605,0,0,0.0042016807,0,0,0,0.006302521,0,0,0,0,0.0021008403,0,0,0,0.0042016807,0,0.0021008403,0,0.0021008403,0,0.0231092437,0,0.0021008403,0,0.0021008403,0,0,0,0,0.0021008403,0,0,0,0.0021008403,0.006302521,0,0,0.0021008403,0,0,0.0399159664,0.0105042017,0,0.0042016807,0,0.0084033613,0,0.0021008403,0.0042016807,0.0021008403,0.0021008403,0,0,0,0.0021008403,0,0.0021008403,0.0021008403,0,0,0.0021008403,0,0.0021008403,0,0.0168067227,0,0,0,0,0,0.006302521,0.0084033613,0
