numexp,Temperature,Age,dUFCCong,dtpH07Cong,dtpH07speCong,dUFCLyo,dtpH07Lyo,dtpH07speLyo,dUFCSto3,dtpH07Sto3,dtpH07speSto3,Anisotropie,UFA,SFA,CFA,UFASFA,CFASFA,CFAUFA,Fatty_acid_biosynthesis,Alanin_aspartate_and_glutamate_metabolism,D_Glutamine_and_D_glutamate_metabolism,Glutathione_metabolism,Lipopolysaccharide_biosynthesis,Peptidoglycan_biosynthesis,Glycerolipid_and_Sphingolipid_metabolism,Glycerophospholipid_metabolism,Thiamine_Riboflavin_and__Vitamin_B6_metabolism,cytochrome_P450,Biosynthesis_of_unsaturated_fatty_acids,Fatty_acid_metabolism,ABC_transporters,Phosphotransferase_system,Protein_export,Base_excision_Nucleotide_excision_and_Mismatch_repair
Autre,condition,condition,PopUFC,PoptpH07,PoptpH07spe,PopUFC,PoptpH07,PoptpH07spe,PopUFC,PoptpH07,PoptpH07spe,CellAniso,Cell,Cell,Cell,Cell,Cell,Cell,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol
0,0,0,0,0,0,0,0,0,0,0,0,0.02,1,1,1,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,3,-1.31E+11,-1.40E+01,1.01E-08,-1.70E+10,1.47E+02,2.99E-08,-11890000000,526,9.36E-06,0.145,12.89147277,54.50056307,32.56466285,0.236538341,0.597510576,2.526062261,13532.87387,37902.74003,528.6823685,25879.53328,9.298433618,13094.51914,4602.724641,4440.002052,5491.057138,4805.961833,2026.394355,354.0046513,115658.2345,76909.66906,10786.183,19125.21752
3,22,3,-2.61E+11,-6.00E+00,7.78E-09,-3.06E+10,1.76E+02,5.36E-08,-8381000000,579,5.81E-05,0.138,13.3209555,56.34008419,30.33456861,0.236438331,0.538418944,2.277206663,4681,38194,759,21765,12,14858,5690,4191,5501,5151,977,368,119828,49650,10853,19814
4,22,4,-2.15E+11,-6.00E+00,8.83E-09,-2.51E+10,7.10E+01,3.32E-08,-9700000000,408,4.15E-06,0.172,6.473103166,58.73935254,34.78248965,0.110200451,0.592149694,5.373387193,9085.77303,38383.01588,749.6127348,26261.60295,7.656550306,15713.79341,4416.371137,4889.983463,20955.61359,6136.542772,1510.527996,275.6358111,118537.6181,55065.54521,12191.41567,22286.75955
6,22,4,-1.78E+11,-1.50E+01,8.83E-09,-1.80E+10,1.20E+02,2.21E-08,-13700000000,560,3.35E-06,0.164,6.067758331,57.49156546,36.43883371,0.105541714,0.63381182,6.005320536,4696.207079,31552.0139,772.5105504,19009.32636,10.03853048,15307.84639,4752.331592,3395.304788,12688.24623,4552.473575,981.4945032,525.6539598,119923.0229,38879.68486,11614.12347,19618.02634
13,30,3,-1.20E+11,-2.30E+01,9.31E-09,-1.90E+10,1.44E+02,3.35E-08,-10890000000,641,1.03E-05,0.164,8.693618492,56.14304643,35.05870305,0.154847644,0.624453165,4.032693991,12062.40782,32218.00808,599.6312182,26947.95032,8.722931847,13347.49265,4643.132207,4155.210793,5399.776198,4428.998299,1865.30049,308.1164637,122582.7985,62802.01406,10099.46677,19369.69224
14,30,3,-5.49E+11,-1.30E+01,6.53E-09,-4.00E+10,8.80E+01,3.40E-08,-10310000000,379,1.16E-06,0.164,9.508911624,56.56575294,33.92214834,0.168103687,0.599694101,3.567405996,3787.192234,25967.2473,681.317029,21690.2215,10.45068179,13491.49307,4688.310699,3359.725637,14507.90616,4743.261058,925.3910166,406.5652336,120811.5671,43466.7454,9981.749586,18872.24572
17,30,4,-1.48E+11,-4.00E+00,9.66E-09,-1.90E+10,2.60E+01,1.92E-08,-11700000000,425,6.06E-07,0.174,3.649897408,63.16737327,33.17977145,0.057781371,0.525267551,9.090603856,13222.17551,31370.37689,684.8628789,27539.79917,11.63601979,14274.73662,4582.264592,4393.428614,5820.337098,5188.99991,2108.779243,326.4734695,120184.4589,72057.54859,10276.60022,20671.55538
18,30,4,-1.95E+11,-7.00E+00,9.13E-09,-2.55E+10,6.00E+01,3.53E-08,-9150000000,681,3.15E-06,0.17,3.649882932,62.18617735,34.15988273,0.058692833,0.54931633,9.359172162,3107.667985,14300.77303,650.6272748,20952.87603,10.85584997,10429.93879,3318.271474,3498.116722,17598.78025,4405.665779,763.8899761,309.7535858,103863.7065,28002.30313,8226.924968,16237.45666
2,22,3,-1.39E+11,-4.00E+00,9.98E-09,-2.39E+10,1.34E+02,6.00E-08,-6940000000,630,7.07E-06,0.134,15.5392301,56.30205632,28.15433144,0.275997559,0.500058671,1.811822804,6617.660138,31637.48522,625.6304612,22206.56238,10.78673209,13020.41538,4745.747245,4067.842621,5498.74412,5149.005076,1116.426771,314.0598535,115002.3293,65179.6584,9944.122365,17820.92604
5,22,4,-1.95E+11,-1.60E+01,8.50E-09,-2.83E+10,1.13E+02,5.96E-08,-6450000000,519,3.87E-06,0.171,6.995972131,59.25924372,33.68920363,0.118057061,0.56850546,4.81551427,5889.239332,20662.84976,536.0040065,23634.42666,13.60947673,12086.78566,3660.425798,4112.155737,24416.97157,4483.79914,1146.336693,330.8149727,113709.2718,37757.39941,9751.713516,18970.56367
15,30,3,-2.61E+11,-9.00E+00,8.47E-09,-2.80E+10,7.00E+01,3.12E-08,-10922000000,551,1.28E-05,0.169,9.881483195,55.37515265,34.73922532,0.178446157,0.627343197,3.51558816,3591.016342,20256.24753,765.0854346,17903.8659,13.7888724,13175.46457,4445.926431,2911.421916,10956.24404,3777.757071,855.3040569,399.4833319,108205.2214,37686.17018,9363.432298,18133.54912
16,30,4,-1.57E+11,-1.60E+01,9.49E-09,-1.70E+10,7.00E+01,1.67E-08,-15000000000,370,7.94E-07,0.163,3.577958583,62.42599358,33.99308381,0.057315204,0.544534125,9.50069237,8894.981322,27453.58467,622.6068191,25835.69675,10.46837863,12012.72619,3551.65916,4648.221822,5384.410549,4230.533514,1420.297271,346.5033327,122544.4105,59237.67587,10500.5689,19175.19085