B_five_methyltetrahydrofolate__homocysteine_methyltransferase,B_five_methyltetrahydropteroyltriglutamate__homocysteine_methyltransferase,Y_five_methyltetrahydropteroyltriglutamate__homocysteine_methyltransferase,B_Methionine_gamma_lyase,B_O_acetylhomoserine_thiol_lyase,Y_O_acetylhomoserineO_acetylserine_sulfhydrylase,B_S_adenosylhomocysteinefive_methylthioadenosine_nucleosidase,Y_S_adenosylmethionine_decarboxylase,B_S_adenosylmethionine_synthetase,Y_S_adenosylmethionine_synthetase,B_S_ribosylhomocysteine_lyase,B_aconitate_hydratase,Y_aconitate_hydratase,B_adenosylhomocysteinase,Y_adenosylhomocysteinase,Y_alcohol_acetyltransferase,B_alcohol_dehydrogenase,Y_alcohol_dehydrogenase,B_aldehyde_dehydrogenase,Y_aldehyde_dehydrogenase,B_aromatic_amino_acid_aminotransferase,Y_aromatic_amino_acid_aminotransferase,B_branched_chain_amino_acid_aminotransferase,Y_branched_chain_amino_acid_aminotransferase,B_citrate_synthase,Y_citrate_synthase,B_cystathionine_beta_lyase,Y_cystathionine_beta_lyase,B_cystathionine_beta_synthase,Y_cystathionine_beta_synthase,B_cystathionine_gamma_lyase,Y_cystathionine_gamma_lyase,B_cystathionine_gamma_synthase,Y_cystathionine_gamma_synthase,B_cysteine_synthase_A,Y_cysteine_synthase_A,B_cysteine_synthase_B,B_glyceraldehyde_three_phosphate_dehydrogenase,B_homocysteine_S_methyltransferase,Y_homocysteine_S_methyltransferase,B_homoserine_O_acetyltransferase,Y_homoserine_O_acetyltransferase,B_homoserine_O_succinyltransferase,Y_pyruvate_decarboxylase,B_pyruvate_dehydrogenase_Eone_component,Y_pyruvate_dehydrogenase_Eone_component,B_serine_O_acetyltransferase,B_succinate_dehydrogenase,Y_succinate_dehydrogenase,B_uroporphyrin_III_C_methyltransferase,Y_uroporphyrin_III_C_methyltransferase,three_methyl_pentane,two_three_butanedione,two_butanol,ethyl_acetate,two_methyl_one_propanol,heptane,ethyl_propanoate,propyl_acetate,three_methyl_one_butanol,two_hexanone,two_three_butanediol,cyclopentanone,ethylbenzene,two_methyl_one_butanol_acetate,two_heptanone,two_heptanol,n_heptanal,isobutyl_isobutyrate
B,B,Y,B,B,Y,B,Y,B,Y,B,B,Y,B,Y,Y,B,Y,B,Y,B,Y,B,Y,B,Y,B,Y,B,Y,B,Y,B,Y,B,Y,B,B,B,Y,B,Y,B,Y,B,Y,B,B,Y,B,Y,alkane,ketone,alcohol,ester,alcohol,alkane,ethyl ester,ester,alcohol,ketone,alcohol,ketone,nan,ester,ketone,alcohol,aldehyde,ester
682.8955033,148.6441257,50027.70818,246.5933493,552.2733393,5952.525424,346.632584,2325.316185,4229.800269,11510.08602,1462.119222,2649.714737,86606.49001,0.717301773,17242.75673,7009.838308,3696.132396,112121.5112,569.0729186,111034.7423,187.0999251,17294.0973,515.7007541,18243.54518,7442.646404,43343.39037,1326.516375,6582.655728,15.85388626,5234.84067,29.84352019,4838.702454,199.6902466,2520.854743,3868.834347,6281.246557,140.0123687,228703.101,0,4309.328563,34.54634936,3588.641246,131.1821756,108245.6243,24487.70365,26215.41739,389.7828932,2835.875661,38940.19559,1316.667571,1448.077295,2515350,79361699.67,0,374710762,415707594.3,29620779.33,46795117.67,31032034,2958863632,0,0,0,0,64539667.33,56860147,3165812.667,13397406.67,0
862.7390068,202.777599,40137.25498,934.7538742,170.088583,4986.27932,498.4758164,2377.124676,4537.548223,12590.59017,1041.67459,7682.228147,66153.30548,8.421735486,12476.56426,3935.490202,3801.684499,52249.41492,1003.721791,71406.94701,180.1321735,14021.87319,381.1033039,21074.10708,7332.98993,28308.77429,662.7206953,4858.695507,9.074111909,3483.197146,5.79005807,6845.474682,390.4569963,1897.186715,2681.744756,4933.345496,115.6098412,67379.71641,0.553525177,3038.040385,19.10980984,2911.339491,127.5665461,74794.83274,14477.40031,18675.38946,484.9754592,5179.330949,26954.16137,1833.93542,1361.301863,5874437.667,23249485.67,4149512,43872448.33,214922807.7,0,3733098,0,1078135732,0,0,0,0,41836588.67,53972372.67,0,14329850.33,0
660.823773,186.7759989,40889.26367,872.9256176,226.5563591,4792.333913,1282.979396,1778.44653,2007.298989,9854.667812,958.589186,14240.99892,50144.09379,16.50843804,10262.90283,4447.393718,5329.498126,40733.28404,925.7060399,58611.44112,207.2451585,12838.29708,446.780532,26120.15485,9756.339204,24452.44805,652.5517711,3647.386761,9.425612818,3456.960489,2.141426348,5291.098946,213.4137615,2667.834448,3201.459569,5363.932626,81.84092485,68182.64626,0,1998.95469,17.40073932,3160.659498,74.75809963,72587.57142,16217.16003,21185.17533,497.2014746,8126.439135,23834.12356,2458.677555,2088.954313,0,10458104,28083247.67,7697004.333,147415334.3,0,0,0,617829977.7,0,0,0,0,21674966.33,83938978.67,3655849,20063249.67,0
5.234677552,605.3053468,325290.6763,5.234677552,9340.410893,99939.84675,110.140938,24861.46252,18048.191,154075.648,2266.092872,657.4368601,902195.2185,0,228864.2442,75604.47985,2277.75353,1594949.916,5.234677552,1299746.199,5.234677552,88146.19327,726.7150557,280907.0254,289.5271761,473065.9015,8346.911185,55221.86903,0,90473.75427,5.234677552,94566.29807,281.933857,21212.50449,21847.72817,47376.75421,0,2564804.074,0,35157.94132,0,37458.50101,11.29240299,714667.4422,164047.2657,238954.7633,354.9922645,204.1498717,546837.2042,44.9003751,12732.496,3241320.333,0,0,6447353309,391728257.7,9801303.333,716254676.3,408452432.7,2340611547,0,10320834,0,0,0,25571061.67,0,7559400.333,0
475.2909642,89.5859624,14303.65984,843.1714994,339.9269154,2734.421062,320.2969322,1344.381738,3189.812949,4445.763943,1157.672836,3677.161486,65821.50545,1.433012748,7655.812878,2764.90699,3803.796677,14734.27085,335.9857823,81765.7372,162.6177741,10596.46919,443.4671205,6539.792189,5961.350976,21952.68653,791.0199664,4260.951609,78.80186868,2161.619608,8.180858884,6075.188215,274.2425834,977.4736988,2298.281439,1948.90782,61.5088625,205401.432,0,3364.148241,11.39097999,2107.455438,95.67426367,75137.16192,20491.36951,13761.76361,410.5705616,3472.071757,27444.36157,1126.987159,397.7513972,6450897,49423116.33,0,950098419,1322317971,22421096,31881431.33,0,11204706025,4898004.333,11696033.67,0,0,37324272.67,148833266,27267635.33,2693903,5845129.333
984.2127485,157.8703237,8008.256147,1516.21303,129.1567508,1569.111922,609.5283681,595.2921448,2860.885367,1904.505226,1117.794293,15562.38402,30054.23045,40.30664792,3654.138689,1329.852787,3726.020885,6658.324434,851.8741371,37653.07537,327.0152712,4146.101114,1017.118124,2934.564186,10627.35536,8508.180775,531.2625565,1801.163521,27.71256032,906.9157537,1.526244472,3493.206409,392.4400689,591.1303317,2322.320657,919.433061,84.51812048,64190.82398,3.445189639,1668.232372,11.95626397,1098.423985,95.07782762,32197.09922,12463.68538,4861.775305,516.7980488,8048.230175,11470.53796,2716.416634,196.270957,8708117.333,25448561.33,84788074.67,16440989.33,114017492,0,0,0,2812829766,0,0,0,4751193.333,7786143,90799711.33,0,16525657,0
954.4850861,154.8697031,7781.159205,1861.602214,146.6645723,1803.149531,919.477041,525.5688053,1296.153699,2074.596975,1233.048181,17261.22305,34377.46667,54.74489176,3827.560295,1496.865309,3449.687181,7990.578577,815.8074418,36806.93029,301.090544,4310.568056,1038.65451,3132.441779,11205.34683,8424.975701,687.8892414,1890.39076,18.86372689,945.5697582,0.5528433,4591.391927,228.8551048,695.9653651,2527.04377,967.0027138,76.68994933,53800.11434,3.895078851,1777.577782,18.50314203,1229.081718,81.52769009,38205.43357,12640.11498,4462.441763,489.3059166,9449.595155,12367.47366,2531.864209,196.9425848,0,23588104.33,112744966.3,0,62813203,0,0,0,1672802607,4511527,0,5296221.333,4205594.667,2942300,101746646.3,0,4363624.667,0
2.666666667,94.33333333,24080.66667,1,604.3333333,7376.333333,15,1200.666667,1406.333333,9880.333333,205.6666667,90.33333333,88839,0,15424,2620.666667,282.3333333,21172.66667,6,69042,2.333333333,9158.333333,54.66666667,14033,46.66666667,22163.66667,537,5530.666667,1,3615.333333,0.333333333,7076,21,1009,1336.666667,1924.666667,1,184002.3333,0,4858,0.333333333,2203.333333,3.666666667,70745.33333,12798.33333,15709.66667,39.66666667,38.33333333,32624,13,489.6666667,5675489.667,39162210.33,0,3748452708,524562065.3,10896444.33,191421995.3,232746208.3,3891131198,0,70540455,0,0,44582329.33,44092309,1314911.667,6444614.333,0
1106.210784,164.7327406,56384.39401,1157.210504,485.8611093,7016.938205,529.1396084,2817.229934,7864.790888,12874.57298,2366.315588,3983.871798,81883.58562,0,16420.01902,6506.825567,7941.127702,126641.4888,247.1477382,102903.4516,242.7871897,17572.82088,452.7302351,16743.955,10627.54084,48299.66696,1893.280171,12326.44859,22.82944095,5773.228461,6.242896216,4609.203377,425.5768414,2607.461821,4142.132396,5888.505566,97.58760374,288908.6344,0,3988.924593,3.123412898,4807.513178,334.4245919,113425.5163,25271.54596,26037.44201,705.2076178,3726.603877,48395.14392,2239.85271,2082.439554,4528443,21428411.33,0,379400955,303719794.3,21520398.67,56182994.33,27103770.33,2246812386,0,0,0,1987442,40371252.67,46684780.33,669638.6667,12539270,0
727.3265201,152.425498,34638.9098,2729.886212,254.1145418,4696.011987,684.6124416,1446.890219,4138.366349,6349.952795,1166.21046,8118.73056,35084.34899,4.732488605,6514.453746,2647.314953,4927.455825,52572.19881,988.8646874,55322.85944,240.0046336,9480.743037,558.5977359,15017.40177,8689.075889,23780.61491,863.4459733,7108.685988,12.67420336,2468.570358,7.242993058,2578.143544,360.4881574,1447.888496,3342.809125,4439.943291,101.1940435,114211.226,0.823161438,1774.900741,29.42457309,3535.870109,134.4048833,54295.62599,16007.08824,16131.98089,657.4808583,6419.970153,23670.26018,2181.77446,1376.014916,4527306.667,7812666.333,0,45792267,85499945.33,0,2223036.667,1092369.333,407149180,0,0,0,2014785.667,10979498.67,23656571.67,1922765,7467681,0
986.127204,238.9939428,38929.13591,3755.4876,235.8505772,4169.107649,1704.480437,1499.391464,2363.31615,10116.72969,1852.267758,15411.15162,35482.51399,21.99817605,5428.370928,2940.7774,6027.388928,50264.614,1195.199388,50902.93203,489.1208618,11761.65301,690.5773343,32347.96388,14948.01829,30945.09024,1143.041449,3959.430367,11.6972089,2840.648904,4.155547946,5639.36559,308.1330307,1670.987729,4783.01937,7721.918285,143.5341205,111889.6611,3.172462698,613.9121798,36.06290162,2923.898735,117.646801,62014.06384,19706.78581,27685.26626,707.319562,10079.02252,22091.52505,3496.611666,2005.838857,1016308.667,16043788.67,44417627.67,7981095.667,118402532.3,0,3836136.667,0,674821327.3,3288103.333,0,0,5003672.667,31158318.67,118139108.3,9478611.333,22168745,0
328.5396831,86.69177931,54699.81004,353.4600812,872.019664,11678.54798,149.3380718,3513.02938,3802.224122,16793.84436,860.7699609,1313.617155,89896.02731,0,30266.07702,11973.57949,2354.360108,383178.7969,73.00236923,253368.2179,84.40511742,16628.92349,205.7180766,30090.50417,2857.279086,103975.1178,1261.725659,10057.20233,2.436863307,14544.40655,0,6840.19664,146.1423836,2755.420282,3270.801235,8836.044783,38.98981291,312883.5736,0,3862.018482,3.65529496,4913.666434,112.0035538,115122.2515,21063.56434,52960.12938,255.1345657,1092.415543,74108.10311,643.9064214,2738.819476,33217178.33,79708236,0,4449673325,1236437147,28735989.67,357861559.3,339709999,7507321220,0,64489937.67,0,3984268,103082439.7,109723786.7,8035376,10835671.33,0